statnm,linenm,minutes,lng,lat,within30,within60
부천종합운동장,서울7호선,55.5,126.79743581627416,37.5054449943336,0,1
온수,서울1호선,55.8,126.82389330619179,37.49244945064322,0,1
사리,수인선,56.8,126.85698334917163,37.290304955756895,0,1
검바위,인천2호선,57.2,126.67752779099276,37.5612431459511,0,1
까치울,서울7호선,57.5,126.81119913841704,37.506232901186856,0,1
상록수,서울4호선,58.2,126.86667974135314,37.30285945416544,0,1
오류동,서울1호선,58.8,126.84479949873905,37.49446122525611,0,1
검암,인천2호선,59.0,126.67564317878316,37.56872333769509,0,1
시우,서해선,59.1,126.7953316998928,37.31306045513937,0,1
선부,서해선,59.4,126.8099316618378,37.334393986474616,0,1
아라,인천1호선,59.5,126.7134610801571,37.59221383686737,0,1
개봉,서울1호선,61.3,126.8586082355438,37.49469923953538,0,0
원시,서해선,61.4,126.78680150842989,37.30264159179402,0,0
독정,인천2호선,61.4,126.67597689172382,37.58491672319505,0,0
신검단중앙,인천1호선,61.5,126.69855280764712,37.60248055177962,0,0
반월,서울4호선,61.7,126.90397634687757,37.31252487179428,0,0
소새울,서해선,61.8,126.79712236126383,37.468709790988314,0,0
달미,서해선,61.9,126.80938332276071,37.34882831018429,0,0
야목,수인선,62.6,126.88382360982709,37.261360434800835,0,0
완정,인천2호선,63.1,126.67294794012362,37.593046182371125,0,0
천왕,서울7호선,63.3,126.83867517110163,37.486739329577425,0,0
구일,서울1호선,63.3,126.86981693840855,37.496242911793544,0,0
검단호수공원,인천1호선,63.5,126.68836593256836,37.60250684209678,0,0
대야미,서울4호선,64.2,126.91673328321285,37.32787112862472,0,0
마전,인천2호선,64.9,126.66716856942418,37.59765913177729,0,0
시흥대야,서해선,65.0,126.79300147213583,37.450124885738,0,0
시흥능곡,서해선,65.4,126.80870135802708,37.36996905926629,0,0
광명사거리,서울7호선,65.7,126.85492120632496,37.47923673038737,0,0
구로,서울1호선,66.3,126.88231503887692,37.50335353704898,0,0
원종,서해선,66.4,126.80482719962039,37.52409157447443,0,0
어천,수인선,66.6,126.9088706558487,37.250065721284265,0,0
검단사거리,인천2호선,67.1,126.65652943167763,37.60168928630328,0,0
신천,서해선,67.2,126.78662490342217,37.4390226021833,0,0
김포공항,공항철도,67.5,126.8018135167875,37.561890927429154,0,0
시흥시청,서해선,67.5,126.80587773213608,37.38174292953505,0,0
수리산,서울4호선,67.7,126.92542337203524,37.35015662168507,0,0
철산,서울7호선,68.0,126.86799912370765,37.47612095481767,0,0
신도림,서울1호선,68.3,126.89142171185813,37.508943699597765,0,0
산본,서울4호선,69.7,126.93311673818776,37.358075048460954,0,0
왕길,인천2호선,69.7,126.64241503106457,37.595132774772814,0,0
가산디지털단지,서울7호선,70.5,126.88248763702191,37.48040253605493,0,0
영등포,서울1호선,70.8,126.90744561446621,37.515659232420234,0,0
검단오류,인천2호선,71.7,126.62795918387782,37.594959347347164,0,0
신현,서해선,71.8,126.78780310467383,37.40956023351403,0,0
남구로,서울7호선,72.3,126.88749291679697,37.48637678986405,0,0
오목천,수인선,73.2,126.96353008424018,37.2431000443475,0,0
신길,서울1호선,73.3,126.91817592758282,37.51689070819467,0,0
청라국제도시,공항철도,73.5,126.62464505549165,37.55648532952862,0,0
금정,서울4호선,74.2,126.9433540751319,37.37265770582086,0,0
독산,서울1호선,74.3,126.88943370369373,37.466051972080976,0,0
대림,서울7호선,74.3,126.89668094558226,37.492835091319854,0,0
도림천,서울2호선,74.3,126.88264545062373,37.514487452876146,0,0
공항시장,서울9호선,74.4,126.81062954435907,37.56372104289702,0,0
마곡나루,공항철도,74.5,126.82754351158827,37.5653856875659,0,0
대방,서울1호선,74.8,126.92623406710486,37.5133483698036,0,0
개화산,서울5호선,75.0,126.80679309089922,37.572527592108514,0,0
문래,서울2호선,75.3,126.8948748555422,37.518260755852666,0,0
송정,서울5호선,75.3,126.81236580684394,37.561170388769554,0,0
고색,수인선,75.8,126.98080027365933,37.249903391786866,0,0
금천구청,서울1호선,76.3,126.89363501880827,37.45612399557803,0,0
방화,서울5호선,76.5,126.81281690315659,37.57755849775306,0,0
신방화,서울9호선,76.6,126.81694853560049,37.567544508753876,0,0
신풍,서울7호선,76.8,126.90977223355294,37.50012633786362,0,0
영등포구청,서울2호선,76.8,126.89664443529787,37.52579535365977,0,0
마곡,서울5호선,77.0,126.82467499758694,37.560185123153246,0,0
양천구청,서울2호선,77.3,126.86591341861687,37.512451192515734,0,0
노량진,서울1호선,77.3,126.94212727274434,37.51403929133789,0,0
구로디지털단지,서울2호선,77.3,126.90134510068359,37.4853026389804,0,0
개화,서울9호선,77.5,126.79692231473688,37.57833577875135,0,0
범계,서울4호선,77.7,126.95070808487887,37.389767760473866,0,0
보라매,서울7호선,78.7,126.92034734244736,37.4999176165529,0,0
고촌,김포도시철도,78.7,126.77034081811517,37.60124578327788,0,0
당산,서울2호선,78.8,126.90261694589547,37.53479411348953,0,0
발산,서울5호선,79.0,126.83768193704763,37.55872896885388,0,0
석수,서울1호선,79.3,126.90230098498377,37.43525797638321,0,0
신대방,서울2호선,79.3,126.91364670737559,37.48771506988466,0,0
수원,분당선,79.7,127.00059566971223,37.266442680041386,0,0
평촌,서울4호선,79.7,126.96363713357556,37.39420295110889,0,0
신정네거리,서울2호선,79.8,126.85291351093805,37.520192023600785,0,0
신대방삼거리,서울7호선,80.3,126.92827053743333,37.49973006158815,0,0
용산,서울1호선,80.8,126.96432105098854,37.52960468897794,0,0
우장산,서울5호선,80.8,126.8363169327808,37.548747315039726,0,0
명학,서울1호선,81.0,126.93555966973885,37.38450707867211,0,0
가양,서울9호선급행,81.1,126.8544312699492,37.56163536897295,0,0
샛강,신림선,81.3,126.92923497998159,37.517179038160606,0,0
양천향교,서울9호선,81.3,126.8420157775171,37.56805245046624,0,0
광명,서울1호선,81.3,126.8853967036718,37.417778311205396,0,0
영종,공항철도,81.5,126.52458657668389,37.51183723123434,0,0
디지털미디어시티,공항철도,81.5,126.89798397849005,37.57746726157213,0,0
군포,서울1호선,81.5,126.94851268339025,37.354204394944425,0,0
서울지방병무청,신림선,81.5,126.92279671048001,37.50619800611216,0,0
매교,분당선,81.7,127.01568721056431,37.26551025848763,0,0
합정,서울2호선,81.8,126.91445817881906,37.54996227477751,0,0
관악,서울1호선,81.8,126.90851780967427,37.41954901729251,0,0
신림,서울2호선,81.8,126.9296473680417,37.48426475767833,0,0
능곡,서해선,82.1,126.82017315331454,37.61891160398485,0,0
인덕원,서울4호선,82.2,126.9766831289701,37.40152443189371,0,0
까치산,서울2호선,82.3,126.84688932629948,37.53139310583104,0,0
장승배기,서울7호선,82.7,126.93935718612674,37.505069033513884,0,0
화곡,서울5호선,82.7,126.8404140019446,37.54165781085848,0,0
풍무,김포도시철도,83.1,126.73241289948646,37.612482730785,0,0
남영,서울1호선,83.3,126.97132962571818,37.54059055609324,0,0
당정,서울1호선,83.5,126.94833402499175,37.34363747540078,0,0
영등포시장,서울5호선,83.5,126.90511351400251,37.52269057657752,0,0
여의도,서울5호선,83.7,126.92459047309863,37.52187648529448,0,0
홍대입구,서울2호선,83.8,126.92388306336497,37.55690592242897,0,0
봉천,서울2호선,83.8,126.94183169338719,37.482419659917305,0,0
수원시청,분당선,84.0,127.03073907903122,37.261944303981316,0,0
안양,서울1호선,84.0,126.9228276011748,37.40152759291793,0,0
양평_5호선,서울5호선,84.0,126.88648056471557,37.52556503730169,0,0
상도,서울7호선,84.7,126.94787542522896,37.50291164320335,0,0
대곡,서해선,84.7,126.80971694247033,37.6315193723656,0,0
보라매공원,신림선,84.8,126.91835147318744,37.49484403914921,0,0
염창,서울9호선급행,84.9,126.8749622945185,37.54716168877678,0,0
사우,김포도시철도,85.1,126.71973108688408,37.62037626803394,0,0
서울대입구,서울2호선,85.3,126.9527461218336,37.48126938801276,0,0
운서,공항철도,85.5,126.49368716386016,37.49285960419908,0,0
여의나루,서울5호선,85.5,126.9329458250847,37.52707871139832,0,0
정부과천청사,서울4호선,85.7,126.98989918923233,37.42649426149006,0,0
노들,서울9호선,85.8,126.9531088296662,37.512698660837316,0,0
오목교,서울5호선,85.8,126.8753826483211,37.52451070152889,0,0
증미,서울9호선,86.0,126.86067178777202,37.558090125876944,0,0
보라매병원,신림선,86.1,126.92346980974537,37.492975380760655,0,0
서울역,서울1호선,86.3,126.97205498738727,37.55599100229629,0,0
숭실대입구,서울7호선,86.3,126.95386677948132,37.496018811223465,0,0
신정,서울5호선,86.7,126.85620191335539,37.52504354734238,0,0
신촌,서울2호선,86.8,126.93680339463694,37.555191688674775,0,0
매탄권선,분당선,87.0,127.04086144000519,37.25242918530788,0,0
의왕,서울1호선,87.0,126.94808384267559,37.320310194975306,0,0
곡산,서해선,87.2,126.80139412367497,37.64578782708321,0,0
낙성대,서울2호선,87.3,126.9633714730419,37.477128579538125,0,0
걸포북변,김포도시철도,87.5,126.70572379136777,37.63169635332964,0,0
당곡,신림선,87.5,126.92763562815304,37.490118580503605,0,0
화서,서울1호선,87.7,126.98959928767621,37.28397119370198,0,0
과천,서울4호선,87.7,126.99674146651338,37.43291738178273,0,0
목동,서울5호선,87.7,126.86443578150646,37.526155260627085,0,0
선유도,서울9호선,87.8,126.89345483013855,37.53804675795846,0,0
흑석,서울9호선,87.8,126.96348987575094,37.5091650981065,0,0
마포,서울5호선,87.8,126.94591379139105,37.53960844051463,0,0
등촌,서울9호선,87.9,126.86550156090728,37.55075581457467,0,0
국회의사당,서울9호선,88.2,126.91744560355306,37.52849815032641,0,0
이대,서울2호선,88.3,126.94590072885495,37.556748942205715,0,0
공덕,공항철도,88.5,126.95205478825476,37.54255858636423,0,0
세류,서울1호선,88.7,127.01384796955523,37.24376319925443,0,0
시청,서울1호선,88.8,126.9772040633425,37.56557568030012,0,0
동작,서울9호선급행,89.1,126.97859082781919,37.502936332057935,0,0
서원,신림선,89.1,126.93305769351016,37.478223766866854,0,0
망포,분당선,89.3,127.0573640058352,37.245814814998205,0,0
남성,서울7호선,89.3,126.97063352333238,37.48486445621787,0,0
상수,서울6호선,89.3,126.92248528569012,37.54774106782856,0,0
망원,서울6호선,89.3,126.91026666775417,37.55586324966307,0,0
대공원,서울4호선,89.7,127.00653686551743,37.43572575371737,0,0
백마,서해선,89.7,126.79435739331409,37.657904782863056,0,0
아현,서울2호선,89.8,126.95620551114132,37.55735678864767,0,0
신목동,서울9호선,89.9,126.88298686255312,37.54446978416588,0,0
사당,서울2호선,90.3,126.98145992891385,37.47655688046076,0,0
공항화물청사,공항철도,90.5,126.47736804363741,37.458986990351015,0,0
성균관대,서울1호선,90.5,126.97111617206218,37.30031469646502,0,0
광흥창,서울6호선,90.8,126.93194527061114,37.547438145098894,0,0
마포구청,서울6호선,91.2,126.90330689680026,37.56363639749388,0,0
이수,서울7호선,91.2,126.98159125571313,37.48525347981365,0,0
종각,서울1호선,91.3,126.982955850426,37.57016455650105,0,0
서울대벤처타운,신림선,91.3,126.93366597352362,37.47230261081729,0,0
애오개,서울5호선,91.5,126.9566727086522,37.55341644480951,0,0
운양,김포도시철도,91.5,126.68384356183019,37.65389444858727,0,0
고속터미널,서울9호선급행,91.7,127.00395600288556,37.50610053366641,0,0
경마공원,서울4호선,91.7,127.00794132540386,37.44391524695267,0,0
영통,분당선,91.8,127.07127163637459,37.251448264152614,0,0
충정로,서울2호선,91.8,126.96455152782553,37.55978849820035,0,0
효창공원앞,경의중앙선,92.2,126.96281899756076,37.53860464456577,0,0
풍산,서해선,92.2,126.78589639631913,37.67226905800128,0,0
구반포,서울9호선,92.4,126.98746198997472,37.50147537502471,0,0
행신,경의중앙선,92.6,126.83431676333677,37.61210224285794,0,0
병점,서울1호선,92.7,127.0331172765132,37.20719993771235,0,0
회현,서울4호선,92.8,126.9787618992552,37.55902192175472,0,0
숙대입구,서울4호선,92.8,126.97200212574523,37.545112610214495,0,0
대흥,서울6호선,92.8,126.94246069813816,37.54764706476496,0,0
월드컵경기장,서울6호선,92.8,126.89906444681453,37.569592247612064,0,0
증산,서울6호선,92.8,126.90953013634258,37.583775585482485,0,0
이촌,경의중앙선,93.2,126.97369624297455,37.52234409069938,0,0
방배,서울2호선,93.3,126.99759853941437,37.48147207698431,0,0
내방,서울7호선,93.3,126.99366333702754,37.48767847349902,0,0
종로3가,서울1호선,93.3,126.99233795465818,37.570425347752746,0,0
인천공항1터미널,공항철도,93.5,126.45270837082361,37.44756949409256,0,0
청명,분당선,93.7,127.0789575841608,37.25947839664072,0,0
선바위,서울4호선,93.7,127.00203740744016,37.45196671145504,0,0
관악산,신림선,93.7,126.94549473876646,37.468971799089914,0,0
장기,김포도시철도,93.8,126.66895416557216,37.64407146103788,0,0
신반포,서울9호선,94.2,126.99611730898998,37.50349234382109,0,0
명동,서울4호선,94.3,126.98574103082794,37.56088522014015,0,0
강매,경의중앙선,94.6,126.8445921251066,37.61230043997802,0,0
신논현,서울9호선급행,94.7,127.02576262558543,37.50508932731812,0,0
새절,서울6호선,94.7,126.91358993350879,37.59083692979173,0,0
서대문,서울5호선,94.7,126.96661225423095,37.565725362966354,0,0
화정,서울3호선,94.7,126.832718472829,37.634599063024275,0,0
일산,서해선,94.7,126.76979224170192,37.68171685521288,0,0
을지로입구,서울2호선,94.8,126.98220699926492,37.56602408391536,0,0
삼각지,서울4호선,94.8,126.97289696351694,37.53441317709764,0,0
백석,서울3호선,95.2,126.78799615103276,37.64306023472994,0,0
종로5가,서울1호선,95.3,127.00191050851747,37.57100470619648,0,0
서초,서울2호선,95.8,127.00770165990147,37.491811823574814,0,0
가좌,경의중앙선,95.8,126.91482473163855,37.568868297150466,0,0
서강대,경의중앙선,95.8,126.93523354466528,37.55233183205827,0,0
충무로,서울4호선,95.8,126.99469388630308,37.56139337164911,0,0
