statnm,linenm,minutes,lng,lat,within30,within60
광교,신분당선,23.9,127.04436155242843,37.302062058277194,1,1
학동,서울7호선,23.9,127.03181201807583,37.51434017199306,1,1
신흥,서울8호선,24.0,127.14760299428023,37.440910752121255,1,1
선릉,서울2호선,24.7,127.04884944742885,37.50447516204327,1,1
서초,서울2호선,24.7,127.00770165990147,37.491811823574814,1,1
고속터미널,서울3호선,24.7,127.00493444785855,37.50486906037078,1,1
학여울,서울3호선,25.2,127.07121516297254,37.49685981421995,1,1
신갈,분당선,25.3,127.1113292802862,37.28614017206379,1,1
사평,서울9호선,25.3,127.0151631744664,37.50422483239932,1,1
단대오거리,서울8호선,25.5,127.15672440797955,37.44508841834457,1,1
강남구청,서울7호선,25.6,127.0410971937261,37.5171658604025,1,1
언주,서울9호선,25.7,127.03388761609956,37.50732567260436,1,1
삼성,서울2호선,26.7,127.06313210133392,37.508915301152705,1,1
잠원,서울3호선,26.7,127.0115777959725,37.51297848809268,1,1
남한산성입구,서울8호선,27.2,127.16003270270654,37.45203498104027,1,1
방배,서울2호선,27.2,126.99759853941437,37.48147207698431,1,1
선정릉,서울9호선급행,27.2,127.0440542026834,37.51050736146603,1,1
대청,서울3호선,27.2,127.07965438746068,37.49351094157151,1,1
압구정,서울3호선,27.3,127.02849480804664,37.52683240163011,1,1
일원,서울3호선,27.4,127.08425610480239,37.483892375613635,1,1
가락시장,서울3호선,27.4,127.11769949685181,37.49224072819765,1,1
청담,서울7호선,27.6,127.05357716068204,37.519428891240395,1,1
기흥,분당선,27.8,127.11596117176872,37.27548895165585,1,1
신둔도예촌,경강선,28.0,127.40524573211431,37.315605515371374,1,1
장지,서울8호선,28.3,127.12621866852548,37.47858602461259,1,1
남위례,서울8호선,28.5,127.13969234334893,37.46249121266242,1,1
종합운동장,서울2호선,28.7,127.0738741898419,37.51114024667451,1,1
내방,서울7호선,28.8,126.99366333702754,37.48767847349902,1,1
경찰병원,서울3호선,28.9,127.12438262870327,37.49583762756161,1,1
구룡,분당선,29.1,127.05959630216212,37.48702793012337,1,1
한티,분당선,29.2,127.05289869433383,37.496292233946704,1,1
신반포,서울9호선,29.4,126.99611730898998,37.50349234382109,1,1
삼성중앙,서울9호선,29.6,127.05332657895441,37.51303446510631,1,1
동작,서울9호선급행,29.7,126.97859082781919,37.502936332057935,1,1
옥수,서울3호선,29.8,127.01734970783959,37.541646501646156,1,1
산성,서울8호선,29.8,127.1499895659972,37.45687166092399,1,1
문정,서울8호선,29.8,127.12239054688452,37.485999588505464,1,1
대모산입구,분당선,29.9,127.07272520536556,37.49139885544521,1,1
봉은사,서울9호선급행,30.1,127.0601734237017,37.514427257649025,0,1
상갈,분당선,30.1,127.1087702594018,37.26180717695745,0,1
사당,서울2호선,30.2,126.98145992891385,37.47655688046076,0,1
오금,서울3호선,30.4,127.12842533949964,37.50230020627933,0,1
뚝섬유원지,서울7호선,30.6,127.06669338787944,37.53153233958963,0,1
잠실새내,서울2호선,30.7,127.08578361601805,37.51162337532623,0,1
개포동,분당선,30.9,127.06603356695186,37.48909188383677,0,1
이수,서울7호선,30.9,126.98159125571313,37.48525347981365,0,1
구반포,서울9호선,31.1,126.98746198997472,37.50147537502471,0,1
금호,서울3호선,31.3,127.01581679193747,37.54824925934082,0,1
건대입구,서울7호선,32.4,127.07104527435243,37.540787120208606,0,1
잠실,서울2호선,32.7,127.10041380810402,37.5133366015627,0,1
남성,서울7호선,32.8,126.97063352333238,37.48486445621787,0,1
약수,서울3호선,32.8,127.01098427642751,37.55439350786292,0,1
송파,서울8호선,33.2,127.11245977050264,37.499453281817736,0,1
낙성대,서울2호선,33.2,126.9633714730419,37.477128579538125,0,1
청명,분당선,33.5,127.0789575841608,37.25947839664072,0,1
이천,경강선,34.0,127.44219049160138,37.264282030974286,0,1
노량진,서울9호선급행,34.1,126.94090950679447,37.51374810573692,0,1
동대입구,서울3호선,34.3,127.00581884359067,37.55909036634736,0,1
어린이대공원,서울7호선,34.4,127.07460765080978,37.54797651986144,0,1
잠실나루,서울2호선,34.7,127.10378518773567,37.52071866422928,0,1
석촌,서울8호선,34.8,127.1072024211311,37.505234569854736,0,1
강남대,용인경전철,35.0,127.12604715514982,37.27014813638295,0,1
압구정로데오,분당선,35.1,127.04055846245011,37.52734337097982,0,1
서울대입구,서울2호선,35.2,126.9527461218336,37.48126938801276,0,1
영통,분당선,35.3,127.07127163637459,37.251448264152614,0,1
숭실대입구,서울7호선,35.8,126.95386677948132,37.496018811223465,0,1
흑석,서울9호선,35.8,126.96348987575094,37.5091650981065,0,1
군자,서울7호선,36.2,127.07940313207344,37.557012386873,0,1
충무로,서울3호선,36.3,126.9941079964346,37.56139947047944,0,1
삼전,서울9호선,36.5,127.08708656620719,37.504639986996615,0,1
개롱,서울5호선,36.7,127.13507764191463,37.49793804469948,0,1
방이,서울5호선,36.7,127.12602968587761,37.50863811844353,0,1
봉천,서울2호선,36.7,126.94183169338719,37.482419659917305,0,1
지석,용인경전철,36.8,127.13663911569527,37.269748151901375,0,1
서울숲,분당선,36.9,127.04468169688805,37.54360242963025,0,1
강변,서울2호선,37.2,127.0947560262475,37.5352127586193,0,1
남태령,서울4호선,37.2,126.98907757220772,37.46430177367908,0,1
여의도,서울9호선급행,37.4,126.92455402440211,37.52158959075807,0,1
상도,서울7호선,37.4,126.94787542522896,37.50291164320335,0,1
을지로3가,서울3호선,37.8,126.99259461491604,37.56662272166245,0,1
망포,분당선,37.8,127.0573640058352,37.245814814998205,0,1
노들,서울9호선,37.8,126.9531088296662,37.512698660837316,0,1
부발,경강선,38.0,127.49035843730856,37.26030423134139,0,1
중곡,서울7호선,38.2,127.08437025699817,37.56605296105017,0,1
어정,용인경전철,38.3,127.1437690636977,37.27496736479221,0,1
올림픽공원,서울5호선,38.5,127.13097639480684,37.51635736455057,0,1
거여,서울5호선,38.5,127.14376760607396,37.49333293435531,0,1
석촌고분,서울9호선,38.6,127.09697063884457,37.50248404349023,0,1
신림,서울2호선,38.7,126.9296473680417,37.48426475767833,0,1
구의,서울2호선,38.7,127.0862247417597,37.53715481665681,0,1
몽촌토성,서울8호선,39.0,127.11286618903804,37.51782512393169,0,1
성수,서울2호선,39.1,127.05638072816848,37.54448421832996,0,1
종로3가,서울3호선,39.3,126.99182698976216,37.5716687202438,0,1
장승배기,서울7호선,39.4,126.93935718612674,37.505069033513884,0,1
버티고개,서울6호선,39.8,127.00691104815432,37.54790967736629,0,1
이촌,서울4호선,40.0,126.97437769380483,37.52241216709484,0,1
용마산,서울7호선,40.1,127.08684287860366,37.573766288916445,0,1
청구,서울6호선,40.1,127.01384244854054,37.56041608611719,0,1
매탄권선,분당선,40.1,127.04086144000519,37.25242918530788,0,1
선바위,서울4호선,40.2,127.00203740744016,37.45196671145504,0,1
왕십리,분당선,40.2,127.03858040056605,37.56196040259133,0,1
동백,용인경전철,40.3,127.15271134830141,37.269129410829464,0,1
마천,서울5호선,40.5,127.15282678886047,37.49499704089626,0,1
뚝섬,서울2호선,40.6,127.04703599105132,37.5473444530958,0,1
둔촌동,서울5호선,40.7,127.13621508958978,37.52766277122959,0,1
대방,서울1호선,41.0,126.92623406710486,37.5133483698036,0,1
당산,서울9호선급행,41.0,126.902466324419,37.53384922383786,0,1
샛강,서울9호선,41.0,126.92857047968481,37.517293054991526,0,1
신대방,서울2호선,41.2,126.91364670737559,37.48771506988466,0,1
안국,서울3호선,41.3,126.98533293693089,37.576442750720375,0,1
강동구청,서울8호선,41.5,127.1205230881743,37.53041250323172,0,1
사가정,서울7호선,41.6,127.08850714914591,37.58097211223812,0,1
한강진,서울6호선,41.6,127.00176196884566,37.53967214815189,0,1
신대방삼거리,서울7호선,41.8,126.92827053743333,37.49973006158815,0,1
신당,서울6호선,41.9,127.01613939171753,37.56613394327701,0,1
용산,서울1호선,42.0,126.96432105098854,37.52960468897794,0,1
초당,용인경전철,42.1,127.15947848591688,37.26081086407165,0,1
경마공원,서울4호선,42.2,127.00794132540386,37.44391524695267,0,1
응봉,경의중앙선,42.3,127.03465062663128,37.5501726486635,0,1
한남,경의중앙선,42.3,127.00930523910256,37.529487486397066,0,1
